iso_code,name,website,category,phone,price,rating
SBX001,Starbucks,https://www.starbucks.com,Coffee Shop,+12063188000,150.00,4.5
APL002,Apple Store,https://www.apple.com,Technology,+14089961010,35000.00,4.8
NKE003,Nike Official,https://www.nike.com,Sports Apparel,+15036716453,2500.00,4.6
TSL004,Tesla Motors,https://tesla.com,Automotive,+16506815000,1500000.00,4.7
MCD005,McDonalds,https://www.mcdonalds.com,Fast Food,+18002446227,99.00,4.2
AMZ006,Amazon,https://www.amazon.com,E-commerce,+12062661000,500.00,4.5
GGL007,Google Store,https://store.google.com,Technology,+18558363987,25000.00,4.6
SBU008,Subway,https://www.subway.com,Fast Food,+12038774281,120.00,4.0
LUL009,Lululemon,https://www.lululemon.com,Apparel,+16047326124,3200.00,4.7
IKE010,IKEA,https://www.ikea.com,Home Furnishing,+18888884532,5000.00,4.4
